,Predicted output,Actual output
263,0.08076993,0.078426403
264,0.005563408,0.009761339
265,0.047489405,0.038780426
266,0.032185614,0.028672709
267,0.068354785,0.071154865
268,0.013295025,0.014423893
269,0.0728333,0.060852359
270,0.021160305,0.028059485
271,0.069351226,0.050678748
272,0.046290398,0.044352171
273,0.012902081,0.013751739
274,0.66286343,0.58415873
275,0.0152851045,0.018855854
276,0.6867589,0.611169048
277,0.67286855,0.623142857
278,0.027788877,0.023189225
279,0.009859711,0.012289994
280,0.0069268644,0.009158258
281,0.08321339,0.074639875
282,0.031145722,0.025234523
283,0.010729462,0.012375565
284,0.026206553,0.016221698
285,0.007038027,0.02043185
286,0.02182877,0.022019727
287,0.037355512,0.037308284
288,0.0043962,0.008995891
289,0.029899925,0.033583917
290,0.027143806,0.022855114
291,0.014540762,0.026789739
292,0.011681318,0.014074571
293,0.058808506,0.054835995
294,0.01583901,0.010007184
295,0.015971422,0.020688239
296,0.004349053,0.005368936
297,0.024793744,0.027224899
298,0.010421485,0.021619631
299,0.08556065,0.096861026
300,0.006114453,0.009034277
301,0.022282362,0.01881287
302,0.024612695,0.017836375
303,0.015464455,0.010242797
304,0.016631454,0.016966791
305,0.009859711,0.015009721
306,0.46798506,0.57345618
307,0.16521981,0.202524728
308,0.007866621,0.008999819
309,0.07720858,0.085864785
310,0.010744393,0.011841064
311,0.048350632,0.041736135
312,0.010746539,0.009319331
313,0.012658447,0.010054486
314,0.008814782,0.005682204
315,0.060492963,0.055011218
316,0.019251019,0.014443218
317,0.017787546,0.020107519
318,0.036194324,0.052171815
319,0.005801618,0.013160811
320,0.017574936,0.013285309
321,0.06104341,0.049287388
322,0.02060628,0.030339872
323,0.0180794,0.016405837
324,0.004349053,0.007569774
325,0.051271677,0.036207235
326,0.035753876,0.029171717
327,0.076180965,0.081277801
328,0.020316273,0.014473736
329,0.09213194,0.075189047
330,0.19091526,0.18541421
331,0.074757755,0.076118455
332,0.20077968,0.164055976
333,0.0973483,0.087961122
334,0.008814782,0.006418668
335,0.07330394,0.098154486
336,0.014853805,0.015016218
337,0.0941512,0.1049321
338,0.012878001,0.008973115
339,0.016147703,0.013139459
340,0.019472212,0.010737799
341,0.012160599,0.017691239
342,0.5114603,0.568729472
343,0.022177368,0.016891434
344,0.024416387,0.020136096
345,0.11838147,0.122377432
346,0.013383478,0.009493078
347,0.010348111,0.013372023
348,0.014211804,0.015536366
349,0.011860818,0.013733778
350,0.01921928,0.014819592
351,0.039530486,0.030373326
352,0.016995162,0.020318245
353,0.039194673,0.023446937
354,0.06574386,0.071144918
355,0.006911427,0.010490566
356,0.23109221,0.187767101
357,0.026279002,0.027882044
358,0.094518095,0.061903932
359,0.027113944,0.031661933
360,0.024280995,0.026243686
361,0.26836693,0.272529858
362,0.015847832,0.025540398
363,0.014936835,0.013295966
364,0.0074732006,0.004801729
365,0.06410763,0.052441206
366,0.037882447,0.05315023
367,0.08445224,0.070500926
368,0.13863933,0.099920694
369,0.13830206,0.11806657
370,0.20986247,0.224494496
371,0.015407562,0.012048015
372,0.045320064,0.050694787
373,0.40502906,0.354985538
374,0.19584125,0.174547734
375,0.046611965,0.048532861
376,0.006429434,0.014298669
377,0.011262476,0.011100829
378,0.6899466,0.683363869
379,0.5015364,0.524599156
380,0.20788941,0.187955965
381,0.5317725,0.473047634
382,0.004349053,0.004659582
383,0.04370901,0.045422589
384,0.009515166,0.022966942
385,0.17348799,0.131213012
386,0.013763934,0.006475742
387,0.0074732006,0.004768905
388,0.008475184,0.008549126
389,0.022864759,0.021980754
390,0.010740697,0.014287226
391,0.0475775,0.045318873
392,0.027667463,0.026701701
393,0.527797,0.5549511
394,0.011457682,0.008870065
395,0.010024518,0.011706326
396,0.072291255,0.060128492
397,0.009273231,0.011048509
398,0.0970017,0.097952413
